num sections,num hidden neurons,right,wrong,percent
130,89,19,11,0.633333333
100,69,16,14,0.533333333
70,49,16,14,0.533333333
40,29,17,13,0.566666667
140,96,19,11,0.633333333
110,76,17,13,0.566666667
80,56,16,14,0.533333333
50,36,19,11,0.633333333
150,102,20,10,0.666666667
120,82,19,11,0.633333333
90,62,21,9,0.7
60,42,17,13,0.566666667
30,22,14,16,0.466666667
130,89,19,11,0.633333333
100,69,16,14,0.533333333
70,49,16,14,0.533333333
40,29,17,13,0.566666667
140,96,19,11,0.633333333
110,76,17,13,0.566666667
80,56,16,14,0.533333333
50,36,19,11,0.633333333
150,102,20,10,0.666666667
120,82,19,11,0.633333333
90,62,21,9,0.7
60,42,17,13,0.566666667
30,22,14,16,0.466666667
130,89,23,7,0.766666667
100,69,21,9,0.7
70,49,19,11,0.633333333
40,29,19,11,0.633333333
140,96,23,7,0.766666667
110,76,20,10,0.666666667
80,56,20,10,0.666666667
50,36,20,10,0.666666667
150,102,18,12,0.6
120,82,22,8,0.733333333
90,62,20,10,0.666666667
60,42,21,9,0.7
30,22,19,11,0.633333333
130,89,16,14,0.533333333
100,69,18,12,0.6
70,49,16,14,0.533333333
40,29,15,15,0.5
140,96,16,14,0.533333333
110,76,17,13,0.566666667
80,56,13,17,0.433333333
50,36,16,14,0.533333333
150,102,13,17,0.433333333
120,82,18,12,0.6
90,62,14,16,0.466666667
60,42,15,15,0.5
30,22,13,17,0.433333333
130,89,26,4,0.866666667
100,69,27,3,0.9
70,49,27,3,0.9
40,29,28,2,0.933333333
140,96,29,1,0.966666667
110,76,26,4,0.866666667
80,56,22,8,0.733333333
50,36,28,2,0.933333333
150,102,26,4,0.866666667
120,82,29,1,0.966666667
90,62,27,3,0.9
60,42,26,4,0.866666667
30,22,25,5,0.833333333
130,89,25,5,0.833333333
100,69,21,9,0.7
70,49,28,2,0.933333333
40,29,23,7,0.766666667
140,96,26,4,0.866666667
110,76,28,2,0.933333333
80,56,26,4,0.866666667
50,36,27,3,0.9
150,102,25,5,0.833333333
120,82,26,4,0.866666667
90,62,25,5,0.833333333
60,42,23,7,0.766666667
30,22,27,3,0.9
130,89,24,6,0.8
100,69,30,0,1
70,49,26,4,0.866666667
40,29,23,7,0.766666667
140,96,24,6,0.8
110,76,25,5,0.833333333
80,56,27,3,0.9
50,36,27,3,0.9
150,102,24,6,0.8
120,82,22,8,0.733333333
90,62,24,6,0.8
60,42,24,6,0.8
30,22,20,10,0.666666667
130,89,13,17,0.433333333
100,69,13,17,0.433333333
70,49,13,17,0.433333333
40,29,13,17,0.433333333
140,96,13,17,0.433333333
110,76,17,13,0.566666667
80,56,14,16,0.466666667
50,36,13,17,0.433333333
150,102,15,15,0.5
120,82,16,14,0.533333333
90,62,18,12,0.6
60,42,11,19,0.366666667
30,22,12,18,0.4
130,89,15,15,0.5
100,69,16,14,0.533333333
70,49,13,17,0.433333333
40,29,13,17,0.433333333
140,96,20,10,0.666666667
110,76,17,13,0.566666667
80,56,14,16,0.466666667
50,36,16,14,0.533333333
150,102,14,16,0.466666667
120,82,16,14,0.533333333
90,62,16,14,0.533333333
60,42,14,16,0.466666667
30,22,15,15,0.5
130,89,17,13,0.566666667
100,69,16,14,0.533333333
70,49,15,15,0.5
40,29,17,13,0.566666667
140,96,18,12,0.6
110,76,15,15,0.5
80,56,18,12,0.6
50,36,15,15,0.5
150,102,18,12,0.6
120,82,13,17,0.433333333
90,62,15,15,0.5
60,42,14,16,0.466666667
30,22,18,12,0.6
130,89,21,9,0.7
100,69,20,10,0.666666667
70,49,18,12,0.6
40,29,20,10,0.666666667
140,96,19,11,0.633333333
110,76,18,12,0.6
80,56,21,9,0.7
50,36,20,10,0.666666667
150,102,20,10,0.666666667
120,82,20,10,0.666666667
90,62,19,11,0.633333333
60,42,19,11,0.633333333
30,22,22,8,0.733333333
130,89,26,4,0.866666667
100,69,25,5,0.833333333
70,49,22,8,0.733333333
40,29,20,10,0.666666667
140,96,24,6,0.8
110,76,24,6,0.8
80,56,24,6,0.8
50,36,20,10,0.666666667
150,102,23,7,0.766666667
120,82,26,4,0.866666667
90,62,23,7,0.766666667
60,42,20,10,0.666666667
30,22,15,15,0.5
130,89,10,20,0.333333333
100,69,10,20,0.333333333
70,49,10,20,0.333333333
40,29,10,20,0.333333333
140,96,12,18,0.4
110,76,10,20,0.333333333
80,56,10,20,0.333333333
50,36,8,22,0.266666667
150,102,10,20,0.333333333
120,82,10,20,0.333333333
90,62,12,18,0.4
60,42,7,23,0.233333333
30,22,11,19,0.366666667
130,89,10,20,0.333333333
100,69,9,21,0.3
70,49,10,20,0.333333333
40,29,8,22,0.266666667
140,96,10,20,0.333333333
110,76,10,20,0.333333333
80,56,9,21,0.3
50,36,10,20,0.333333333
150,102,10,20,0.333333333
120,82,10,20,0.333333333
90,62,12,18,0.4
60,42,10,20,0.333333333
30,22,9,21,0.3
130,89,18,12,0.6
100,69,17,13,0.566666667
70,49,17,13,0.566666667
