true species,guessed species,correct?
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Quercus imbricaria,0
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Quercus stellata,0
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Quercus stellata,0
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Quercus imbricaria,0
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Quercus stellata,0
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Quercus stellata,0
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
Acer saccharum,Acer saccharum,1
